# Generated from atlas label .xml files distributed with FSL
# http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/
249,Right Cerebrum.Occipital Lobe.Lingual Gyrus.Gray Matter.Brodmann area 18
250,Left Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.Gray Matter.Brodmann area 18
251,Left Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.*.*
252,Left Cerebrum.Occipital Lobe.Lingual Gyrus.White Matter.*
253,Right Cerebrum.Occipital Lobe.Lingual Gyrus.White Matter.*
254,Right Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.Gray Matter.Brodmann area 18
255,Left Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.White Matter.*
256,Right Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.White Matter.*
257,Right Cerebrum.Occipital Lobe.Inferior Occipital Gyrus.*.*
258,Left Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 19
259,Right Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 19
260,*.*.Inferior Occipital Gyrus.*.*
261,Left Cerebrum.*.Inferior Occipital Gyrus.*.*
262,Right Cerebrum.*.Inferior Occipital Gyrus.*.*
263,Right Cerebrum.Occipital Lobe.*.Gray Matter.Brodmann area 19
264,Left Cerebrum.Occipital Lobe.*.Gray Matter.Brodmann area 19
265,Left Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 19
266,Right Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 19
267,Left Cerebrum.Temporal Lobe.*.Gray Matter.Brodmann area 37
268,Right Cerebrum.Temporal Lobe.*.Gray Matter.Brodmann area 37
269,Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 37
270,Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 37
271,Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 37
272,Right Cerebrum.Limbic Lobe.*.Gray Matter.Brodmann area 35
273,*.*.*.White Matter.Optic Tract
274,*.*.*.Gray Matter.Hypothalamus
275,Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 21
